 Total battles: 1718442
 Avg. weight/team: 0.002
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Tapu Lele          | 35.90965% | 872903 | 25.398% | 0      |  0.000% | 
 | 2    | Tapu Koko          | 35.31016% | 1138317 | 33.121% | 0      |  0.000% | 
 | 3    | Arcanine           | 32.86557% | 921182 | 26.803% | 0      |  0.000% | 
 | 4    | Celesteela         | 31.80662% | 1021764 | 29.729% | 0      |  0.000% | 
 | 5    | Garchomp           | 31.64861% | 1008185 | 29.334% | 0      |  0.000% | 
 | 6    | Marowak-Alola      | 28.93165% | 1119799 | 32.582% | 0      |  0.000% | 
 | 7    | Porygon2           | 26.39580% | 585454 | 17.034% | 0      |  0.000% | 
 | 8    | Kartana            | 24.11873% | 468012 | 13.617% | 0      |  0.000% | 
 | 9    | Tapu Bulu          | 19.09881% | 784703 | 22.832% | 0      |  0.000% | 
 | 10   | Muk-Alola          | 17.85017% | 546213 | 15.893% | 0      |  0.000% | 
 | 11   | Gastrodon          | 15.28332% | 476543 | 13.866% | 0      |  0.000% | 
 | 12   | Tapu Fini          | 15.13180% | 265262 |  7.718% | 0      |  0.000% | 
 | 13   | Gyarados           | 14.48281% | 550320 | 16.012% | 0      |  0.000% | 
 | 14   | Araquanid          | 13.91153% | 377213 | 10.975% | 0      |  0.000% | 
 | 15   | Ninetales-Alola    | 13.57197% | 428437 | 12.466% | 0      |  0.000% | 
 | 16   | Salamence          | 12.61510% | 347793 | 10.119% | 0      |  0.000% | 
 | 17   | Gigalith           | 11.02195% | 328626 |  9.562% | 0      |  0.000% | 
 | 18   | Pelipper           | 10.66904% | 371927 | 10.822% | 0      |  0.000% | 
 | 19   | Pheromosa          |  8.71765% | 181641 |  5.285% | 0      |  0.000% | 
 | 20   | Snorlax            |  8.33599% | 126554 |  3.682% | 0      |  0.000% | 
 | 21   | Oranguru           |  8.32764% | 517395 | 15.054% | 0      |  0.000% | 
 | 22   | Metagross          |  8.15006% | 219956 |  6.400% | 0      |  0.000% | 
 | 23   | Magnezone          |  7.83162% | 230126 |  6.696% | 0      |  0.000% | 
 | 24   | Nihilego           |  7.62718% | 223363 |  6.499% | 0      |  0.000% | 
